File,Source,License,Modifications
flag-comoros.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Comoros.svg,PD,
flag-cook_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cook_Islands.svg,PD,
flag-costa_rica-blur.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Costa_Rica_(state).svg,PD,
flag-costa_rica.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Costa_Rica_(state).svg,PD,
flag-croatia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Croatia.svg,PD,
flag-cuba.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cuba.svg,PD,
flag-curacao.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Curacao.svg,PD,
flag-cyprus.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cyprus.svg,PD,
flag-czech_republic.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Czech_Republic.svg,PD,
flag-democratic_republic_of_the_congo.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Democratic_Republic_of_the_Congo.svg,PD,
flag-denmark.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Denmark.svg,PD,
flag-djibouti.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Djibouti.svg,CC0 1.0,
flag-dominica.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Dominica.svg,CC0 1.0,
flag-dominican_republic.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Dominican_Republic.svg,PD,
flag-ecuador.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Ecuador.svg,PD,
flag-egypt.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Egypt.svg,PD,
flag-el_salvador-blur.svg,https://commons.wikimedia.org/wiki/File:Flag_of_El_Salvador.svg,PD,Inkscape Gaussian blur of 15
flag-el_salvador.svg,https://commons.wikimedia.org/wiki/File:Flag_of_El_Salvador.svg,PD,
flag-england.svg,https://commons.wikimedia.org/wiki/File:Flag_of_England.svg,PD,
flag-equatorial_guinea.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Equatorial_Guinea.svg,CC0 1.0,
flag-eritrea.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Eritrea.svg,CC0 1.0,
flag-estonia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Estonia.svg,PD,
flag-eswatini.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Eswatini.svg,CC0 1.0,
flag-ethiopia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Ethiopia.svg,PD,
flag-european_union.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Europe.svg,PD,
flag-faroe_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Faroe_Islands.svg,PD,
flag-federated_states_of_micronesia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Federated_States_of_Micronesia.svg,PD,
flag-fiji.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Fiji.svg,PD,
flag-finland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Finland.svg,PD,
flag-france.svg,https://commons.wikimedia.org/wiki/File:Flag_of_France.svg,PD,
flag-french_polynesia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_French_Polynesia.svg,CC0 1.0,
flag-gabon.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Gabon.svg,PD,
flag-georgia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Georgia.svg,PD,
flag-germany.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Germany.svg,PD,
flag-ghana.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Ghana.svg,PD,
flag-greece.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Greece.svg,PD,
flag-greenland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Greenland.svg,PD,
flag-grenada.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Grenada.svg,PD,
flag-guam-blur.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guam.svg,PD,Inkscape Gaussian blur of 5
flag-guam.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guam.svg,PD,
flag-guatemala.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guatemala.svg,PD,
flag-guinea-bissau.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guinea-Bissau.svg,PD,
flag-guinea.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guinea.svg,PD,
flag-guyana.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Guyana.svg,PD,
flag-haiti.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Haiti.svg,PD,
flag-honduras.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Honduras.svg,PD,
flag-hong_kong.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Hong_Kong.svg,PD,
flag-hungary.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Hungary.svg,PD,
flag-iceland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Iceland.svg,PD,
flag-india.svg,https://commons.wikimedia.org/wiki/File:Flag_of_India.svg,PD,
flag-indonesia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Indonesia.svg,PD,
flag-iran.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Iran.svg,PD,
flag-iraq.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Iraq.svg,PD,
flag-ireland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Ireland.svg,PD,
flag-israel.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Israel.svg,PD,
flag-italy.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Italy.svg,PD,
flag-ivory_coast.svg,https://commons.wikimedia.org/wiki/File:Flag_of_C%C3%B4te_d%27Ivoire.svg,PD,
flag-jamaica.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Jamaica.svg,PD,
flag-japan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Japan.svg,PD,
flag-jordan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Jordan.svg,PD,
flag-kazakhstan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Kazakhstan.svg,PD,
flag-kenya.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Kenya.svg,PD,
flag-kiribati.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Kiribati.svg,PD,
flag-kosovo.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Kosovo.svg,PD,
flag-kuwait.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Kuwait.svg,PD,
flag-kyrgyzstan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Kyrgyzstan.svg,PD,
flag-laos.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Laos.svg,PD,
flag-latvia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Latvia.svg,PD,
flag-lebanon.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Lebanon.svg,PD,
flag-lesotho.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Lesotho.svg,PD,
flag-liberia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Liberia.svg,PD,
flag-libya.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Libya.svg,PD,
flag-liechtenstein.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Liechtenstein.svg,PD,
flag-lithuania.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Lithuania.svg,PD,
flag-luxembourg.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Luxembourg.svg,PD,
flag-macau.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Macau.svg,PD,
flag-madagascar.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Madagascar.svg,PD,
flag-malawi.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Malawi.svg,PD,
flag-malaysia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Malaysia.svg,PD,
flag-maldives.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Maldives.svg,PD,
flag-mali.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Mali.svg,PD,
flag-malta.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Malta.svg,PD,
flag-marshall_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Marshall_Islands.svg,PD,
flag-mauritania.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Mauritania.svg,PD,
flag-mauritius.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Mauritius.svg,PD,
flag-mexico.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Mexico.svg,PD,
flag-moldova.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Moldova.svg,PD,
flag-monaco.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Monaco.svg,PD,
flag-mongolia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Mongolia.svg,PD,
flag-montenegro.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Montenegro.svg,PD,
flag-morocco.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Morocco.svg,PD,
flag-mozambique.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Mozambique.svg,PD,
flag-myanmar.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Myanmar.svg,PD,
flag-namibia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Namibia.svg,PD,
flag-nauru.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Nauru.svg,PD,
flag-nepal-nobox.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Nepal.svg,PD,
flag-netherlands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Netherlands.svg,PD,
flag-new_caledonia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_FLNKS.svg,PD,
flag-new_zealand.svg,https://commons.wikimedia.org/wiki/File:Flag_of_New_Zealand.svg,PD,
flag-nicaragua-blur.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Nicaragua.svg,PD,Inkscape Gaussian blur of 3.5
flag-nicaragua.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Nicaragua.svg,PD,
flag-niger.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Niger.svg,PD,
flag-nigeria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Nigeria.svg,PD,
flag-niue.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Niue.svg,PD,
flag-north_korea.svg,https://commons.wikimedia.org/wiki/File:Flag_of_North_Korea.svg,PD,
flag-north_macedonia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_North_Macedonia.svg,PD,
flag-northern_cyprus.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Turkish_Republic_of_Northern_Cyprus.svg,CC BY-SA 2.5,
flag-norway.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Norway.svg,PD,
flag-oman.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Oman.svg,PD,
flag-pakistan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Pakistan.svg,PD,
flag-palau.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Palau.svg,PD,
flag-palestine.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Palestine.svg,PD,
flag-panama.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Panama.svg,PD,
flag-papua_new_guinea.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Papua_New_Guinea.svg,PD,
flag-paraguay-blur.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Paraguay.svg,PD,Inkscape Gaussian blur of 1.5
flag-paraguay.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Paraguay.svg,PD,
flag-peru.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Peru.svg,PD,
flag-philippines.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Philippines.svg,PD,
flag-poland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Poland.svg,PD,
flag-portugal.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Portugal.svg,PD,
flag-puerto_rico.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Puerto_Rico.svg,PD,
flag-qatar.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Qatar.svg,PD,
flag-republic_of_the_congo.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Republic_of_the_Congo.svg,PD,
flag-romania.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Romania.svg,PD,
flag-russia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Russia.svg,PD,
flag-rwanda.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Rwanda.svg,PD,
flag-sahrawi_arab_democratic_republic.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Sahrawi_Arab_Democratic_Republic.svg,PD,
flag-saint_kitts_and_nevis.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Saint_Kitts_and_Nevis.svg,PD,
flag-saint_lucia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Saint_Lucia.svg,PD,
flag-saint_vincent_and_the_grenadines.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Saint_Vincent_and_the_Grenadines.svg,PD,
flag-samoa.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Samoa.svg,PD,
flag-san_marino.svg,https://commons.wikimedia.org/wiki/File:Flag_of_San_Marino.svg,PD,
flag-sao_tome_and_principe.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Sao_Tome_and_Principe.svg,PD,
flag-saudi_arabia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Saudi_Arabia.svg,PD,
flag-scotland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Scotland.svg,PD,
flag-senegal.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Senegal.svg,PD,
flag-serbia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Serbia.svg,PD,
flag-seychelles.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Seychelles.svg,PD,
flag-sierra_leone.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Sierra_Leone.svg,PD,
flag-singapore.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Singapore.svg,PD,
flag-slovakia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Slovakia.svg,PD,
flag-slovenia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Slovenia.svg,PD,
flag-solomon_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Solomon_Islands.svg,PD,
flag-somalia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Somalia.svg,PD,
flag-somaliland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Somaliland.svg,PD,
flag-south_africa.svg,https://commons.wikimedia.org/wiki/File:Flag_of_South_Africa.svg,PD,
flag-south_korea.svg,https://commons.wikimedia.org/wiki/File:Flag_of_South_Korea.svg,PD,
flag-south_ossetia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_South_Ossetia.svg,PD,
flag-south_sudan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_South_Sudan.svg,PD,
flag-spain.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Spain.svg,PD,
flag-sri_lanka.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Sri_Lanka.svg,PD,
flag-sudan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Sudan.svg,PD,
flag-suriname.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Suriname.svg,PD,
flag-sweden.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Sweden.svg,PD,
flag-switzerland.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Switzerland_(Pantone).svg,PD,
flag-syria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Syrian_revolution.svg,PD,
flag-taiwan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Republic_of_China.svg,PD,
flag-tajikistan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Tajikistan.svg,PD,
flag-tanzania.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Tanzania.svg,PD,
flag-thailand.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Thailand.svg,PD,
flag-the_bahamas.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Bahamas.svg,PD,
flag-the_gambia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_The_Gambia.svg,PD,
flag-timor-leste.svg,https://commons.wikimedia.org/wiki/File:Flag_of_East_Timor.svg,PD,
flag-togo.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Togo.svg,PD,
flag-tonga.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Tonga.svg,CC0 1.0,
flag-transnistria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Transnistria.svg,PD,
flag-trinidad_and_tobago.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Trinidad_and_Tobago.svg,PD,
flag-tunisia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Tunisia.svg,PD,
flag-turkey.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Turkey.svg,PD,
flag-turkmenistan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Turkmenistan.svg,PD,
flag-tuvalu.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Tuvalu.svg,CC0 1.0,
flag-uganda.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Uganda.svg,PD,
flag-ukraine.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Ukraine.svg,PD,
flag-united_arab_emirates.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_United_Arab_Emirates.svg,PD,
flag-united_kingdom.svg,https://commons.wikimedia.org/wiki/File:Flag_of_United_Kingdom.svg,PD,
flag-united_states_of_america.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_U.S..svg,PD,
flag-united_states_virgin_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_United_States_Virgin_Islands.svg,PD,
flag-uruguay.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Uruguay.svg,PD,
flag-uzbekistan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Uzbekistan.svg,PD,
flag-vanuatu.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Vanuatu.svg,PD,
flag-vatican_city.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Vatican_City.svg,CC0 1.0,
flag-venezuela.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Venezuela.svg,PD,
flag-vietnam.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Vietnam.svg,PD,
flag-wales.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Wales.svg,CC0 1.0,
flag-yemen.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Yemen.svg,PD,
flag-zambia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Zambia.svg,PD,
flag-zimbabwe.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Zimbabwe.svg,PD,
map-abkhazia.png,https://commons.wikimedia.org/wiki/File:Abkhazia_in_its_region.svg,CC BY-SA 3.0,
map-adriatic_sea.png,https://commons.wikimedia.org/wiki/File:Adriatic_Sea_in_its_region_(IHO_1953).svg,CC BY-SA 4.0,
map-aegean_sea.png,https://commons.wikimedia.org/wiki/File:Aegean_Sea_in_its_region.svg,CC BY-SA 4.0,
map-afghanistan.png,https://commons.wikimedia.org/wiki/File:Afghanistan_in_its_region.svg,CC BY-SA 3.0,
map-africa-nobox.png,https://commons.wikimedia.org/wiki/File:Africa_in_the_world_(red)_(W3).svg,CC BY-SA 3.0,grid removed
map-akrotiri_and_dhekelia.png,https://commons.wikimedia.org/wiki/File:Akrotiri_and_Dhekelia_in_United_Kingdom.svg,CC BY-SA 3.0,colours adjusted
map-aland_islands.png,https://commons.wikimedia.org/wiki/File:Aland_in_its_region.svg,CC BY-SA 3.0,
map-alaska.png,https://commons.wikimedia.org/wiki/File:Alaska_in_its_region.svg,CC BY-SA 3.0,
map-albania.png,https://commons.wikimedia.org/wiki/File:Albania_in_its_region.svg,CC BY-SA 3.0,
map-algeria.png,https://commons.wikimedia.org/wiki/File:Algeria_in_its_region.svg,CC BY-SA 3.0,
map-american_samoa.png,https://commons.wikimedia.org/wiki/File:American_Samoa_in_its_region.svg,CC BY-SA 3.0,
map-andorra.png,https://commons.wikimedia.org/wiki/File:Andorra_in_its_region.svg,CC BY-SA 3.0,
map-angola.png,https://commons.wikimedia.org/wiki/File:Angola_in_its_region.svg,CC BY-SA 3.0,
map-anguilla.png,https://commons.wikimedia.org/wiki/File:Anguilla_in_its_region_(zoom).svg,CC BY-SA 3.0,"colours adjusted for consistency, zoom box moved"
map-antarctica-nobox.png,https://commons.wikimedia.org/wiki/File:Antarctica_in_the_world_(red)_(W3).svg,CC BY-SA 3.0,grid removed
map-antigua_and_barbuda.png,https://commons.wikimedia.org/wiki/File:Antigua_and_Barbuda_in_its_region_(zoomed).svg,CC BY-SA 3.0,colours adjusted for consistency
map-arabian_sea.png,https://commons.wikimedia.org/wiki/File:Arabian_Sea_in_its_region.svg,CC BY-SA 4.0,
map-aral_sea.png,https://commons.wikimedia.org/wiki/File:Aral_Sea_in_its_region.svg,CC BY-SA 4.0,
map-arctic_ocean-nobox.png,https://commons.wikimedia.org/wiki/File:Arctic_Ocean_in_the_world_(blue)_(W3)_(CWF).svg,CC BY-SA 4.0,
map-argentina.png,https://commons.wikimedia.org/wiki/File:Argentina_in_its_region_(%2Ball_claims_wo_Antarctica_hatched).svg,CC BY-SA 3.0,
map-armenia.png,https://commons.wikimedia.org/wiki/File:Armenia_in_its_region.svg,CC BY-SA 3.0,
map-aruba.png,https://commons.wikimedia.org/wiki/File:Aruba_in_its_region_(zoom).svg,CC BY-SA 3.0,colours adjusted for consistency
map-asia-nobox.png,https://commons.wikimedia.org/wiki/File:Asia_in_the_world_(red)_(W3).svg,CC BY-SA 3.0,grid removed
map-atlantic_ocean-nobox.png,https://commons.wikimedia.org/wiki/File:Atlantic_Ocean_in_the_world_(blue)_(W3)_(CWF).svg,CC BY-SA 4.0,
map-australia.png,https://commons.wikimedia.org/wiki/File:Australia_in_its_region.svg,CC BY-SA 3.0,
map-austria.png,https://commons.wikimedia.org/wiki/File:Austria_in_its_region.svg,CC BY-SA 3.0,
map-azerbaijan.png,https://commons.wikimedia.org/wiki/File:Azerbaijan_in_its_region.svg,CC BY-SA 3.0,
map-azores.png,https://commons.wikimedia.org/wiki/File:Azores_in_its_region.svg,CC BY-SA 3.0,
map-bahrain.png,https://commons.wikimedia.org/wiki/File:Bahrain_in_its_region.svg,CC BY-SA 3.0,
map-bali.png,https://commons.wikimedia.org/wiki/File:Bali_in_its_region.svg,CC BY-SA 4.0,
map-balkan_peninsula.png,https://commons.wikimedia.org/wiki/File:Balkan_Peninsula_in_its_region.svg,CC BY-SA 3.0,
map-baltic_sea.png,https://commons.wikimedia.org/wiki/File:Baltic_Sea_in_its_region.svg,CC BY-SA 4.0,
map-banda_sea.png,https://commons.wikimedia.org/wiki/File:Banda_Sea_in_its_region.svg,CC BY-SA 4.0,
map-bangladesh.png,https://commons.wikimedia.org/wiki/File:Bangladesh_in_its_region.svg,CC BY-SA 3.0,
map-barbados.png,https://commons.wikimedia.org/wiki/File:Barbados_in_its_region.svg,CC BY-SA 3.0,zoom box added
map-barents_sea.png,https://commons.wikimedia.org/wiki/File:Barents_Sea_in_its_region.svg,CC BY-SA 4.0,
map-bay_of_bengal.png,https://commons.wikimedia.org/wiki/File:Bay_of_Bengal_in_its_region.svg,CC BY-SA 4.0,
map-bay_of_biscay.png,https://commons.wikimedia.org/wiki/File:Bay_of_Biscay_in_its_region.svg,CC BY-SA 4.0,
map-belarus.png,https://commons.wikimedia.org/wiki/File:Belarus_in_its_region.svg,CC BY-SA 3.0,
map-belgium.png,https://commons.wikimedia.org/wiki/File:Belgium_in_its_region.svg,CC BY-SA 3.0,
